h_lenght,eps,algorithm_type,num_threads,method_type,n_of_iter,error_in_norm_inf,time_taken
0.0001,1e-06,Sequential,1,Jacobi,90,3.77422e-06,134.478
0.0001,1e-06,Sequential,1,Seidel_RB,48,1.39133e-06,70.2044
0.0001,1e-06,Parallel,1,Jacobi,90,3.77422e-06,134.546
0.0001,1e-06,Parallel,1,Seidel_RB,48,1.39133e-06,71.3426
0.0001,1e-06,Parallel,2,Jacobi,90,3.77422e-06,69.7138
0.0001,1e-06,Parallel,2,Seidel_RB,48,1.39133e-06,36.9953
0.0001,1e-06,Parallel,4,Jacobi,90,3.77422e-06,37.4506
0.0001,1e-06,Parallel,4,Seidel_RB,48,1.39133e-06,19.8348
0.0001,1e-06,Parallel,6,Jacobi,90,3.77422e-06,26.0459
0.0001,1e-06,Parallel,6,Seidel_RB,48,1.39133e-06,13.8939
0.0001,1e-06,Parallel,8,Jacobi,90,3.77422e-06,20.6865
0.0001,1e-06,Parallel,8,Seidel_RB,48,1.39133e-06,11.1123
0.0001,1e-06,Parallel,12,Jacobi,90,3.77422e-06,15.8619
0.0001,1e-06,Parallel,12,Seidel_RB,48,1.39133e-06,8.37998
0.0001,1e-06,Parallel,16,Jacobi,90,3.77422e-06,15.3791
0.0001,1e-06,Parallel,16,Seidel_RB,48,1.39133e-06,8.18435
0.0001,1e-06,Parallel,18,Jacobi,90,3.77422e-06,14.5795
0.0001,1e-06,Parallel,18,Seidel_RB,48,1.39133e-06,7.76505

